runtag1         	runtag2         	topic	unweighted_recall weighted_recall precision
1unique2        	3unique0        	all 	      0.0862	      0.2549	    0.3430
1unique2        	3unique2        	all 	      0.0862	      0.2549	    0.3430
1unique2        	EM100           	all 	      0.0714	      0.2115	    0.5817
1unique2        	EM50            	all 	      0.0630	      0.1815	    0.6380
1unique2        	hltcoeTTG0      	all 	      0.0732	      0.2117	    0.5834
1unique2        	hltcoeTTG1      	all 	      0.0351	      0.1009	    0.4633
1unique2        	hltcoeTTG2      	all 	      0.0388	      0.1334	    0.5406
1unique2        	hltcoeTTG3      	all 	      0.0423	      0.1274	    0.5324
1unique2        	ICTNETAP3       	all 	      0.0502	      0.1625	    0.5357
1unique2        	ICTNETAP4       	all 	      0.0494	      0.1544	    0.6007
1unique2        	ICTNETRunSP3    	all 	      0.0280	      0.0706	    0.5132
1unique2        	ICTNETRUNSP4    	all 	      0.0234	      0.0674	    0.4721
1unique2        	JufeLdkeSum1    	all 	      0.0862	      0.2549	    0.3430
1unique2        	JufeLdkeSum2    	all 	      0.0418	      0.1101	    0.3291
1unique2        	JufeLdkeSum3    	all 	      0.0244	      0.0750	    0.3291
1unique2        	PrisTTG2014a    	all 	      0.0403	      0.1516	    0.5543
1unique2        	PrisTTG2014b    	all 	      0.0372	      0.1413	    0.5304
1unique2        	PrisTTG2014c    	all 	      0.0702	      0.2226	    0.5191
1unique2        	PrisTTG2014e    	all 	      0.0694	      0.2262	    0.5735
1unique2        	QUQEd10t15TTgCL 	all 	      0.0320	      0.1114	    0.6318
1unique2        	QUQEd5t25TTgBL  	all 	      0.0503	      0.1807	    0.6058
1unique2        	QUTmpDecayTTgCL 	all 	      0.0368	      0.1141	    0.5926
1unique2        	QUTqrmTTgBL     	all 	      0.0444	      0.1624	    0.6242
1unique2        	SCIAI124aTTG    	all 	      0.0155	      0.0266	    0.3545
1unique2        	SCIAI14aTTG     	all 	      0.0155	      0.0266	    0.3545
1unique2        	SCIAI3am14aTTG  	all 	      0.0108	      0.0172	    0.2545
1unique2        	SCIAI3cm4aTTG   	all 	      0.0094	      0.0242	    0.2091
1unique2        	SM100           	all 	      0.0376	      0.1098	    0.5224
1unique2        	SM50            	all 	      0.0341	      0.1050	    0.5603
1unique2        	SR              	all 	      0.0142	      0.0487	    0.3182
1unique2        	SRTD            	all 	      0.0138	      0.0417	    0.3606
1unique2        	SRTL            	all 	      0.0154	      0.0462	    0.4091
1unique2        	Standard        	all 	      0.0149	      0.0506	    0.3364
1unique2        	TTGPKUICST1     	all 	      0.0381	      0.1274	    0.5894
1unique2        	TTGPKUICST2     	all 	      0.0316	      0.1003	    0.6064
1unique2        	TTGPKUICST3     	all 	      0.0366	      0.1302	    0.6264
1unique2        	TTGPKUICST4     	all 	      0.0344	      0.1129	    0.5958
1unique2        	udelRunTTG1     	all 	      0.0221	      0.0508	    0.4947
1unique2        	udelRunTTG2     	all 	      0.0184	      0.0451	    0.4645
1unique2        	udelRunTTG3     	all 	      0.0221	      0.0506	    0.4992
1unique2        	udelRunTTG4     	all 	      0.0187	      0.0496	    0.4803
1unique2        	UDInfoMMR5      	all 	      0.0099	      0.0268	    0.2879
1unique2        	UDInfoMMRA      	all 	      0.0097	      0.0267	    0.2636
1unique2        	UDInfoMMRWC5    	all 	      0.0101	      0.0242	    0.3182
1unique2        	UDInfoMMRWCA    	all 	      0.0080	      0.0237	    0.2909
1unique2        	wistudt2bcd     	all 	      0.0180	      0.0826	    0.3170
1unique2        	wistudt2bd      	all 	      0.0296	      0.0885	    0.4035
1unique2        	wistudt2qcd     	all 	      0.0099	      0.0346	    0.1697
1unique2        	wistudt2qd      	all 	      0.0128	      0.0490	    0.2927
3unique0        	3unique2        	all 	      0.0862	      0.2549	    0.3430
3unique0        	EM100           	all 	      0.2007	      0.3647	    0.4310
3unique0        	EM50            	all 	      0.1711	      0.3318	    0.5068
3unique0        	hltcoeTTG0      	all 	      0.2003	      0.3629	    0.4879
3unique0        	hltcoeTTG1      	all 	      0.1463	      0.2645	    0.5034
3unique0        	hltcoeTTG2      	all 	      0.1573	      0.3016	    0.5002
3unique0        	hltcoeTTG3      	all 	      0.1683	      0.3058	    0.4533
3unique0        	ICTNETAP3       	all 	      0.1250	      0.2985	    0.4243
3unique0        	ICTNETAP4       	all 	      0.1171	      0.2660	    0.4461
3unique0        	ICTNETRunSP3    	all 	      0.1183	      0.1920	    0.4149
3unique0        	ICTNETRUNSP4    	all 	      0.1101	      0.1789	    0.4240
3unique0        	JufeLdkeSum1    	all 	      0.2522	      0.4374	    0.2558
3unique0        	JufeLdkeSum2    	all 	      0.1689	      0.3241	    0.2802
3unique0        	JufeLdkeSum3    	all 	      0.0709	      0.1316	    0.2604
3unique0        	PrisTTG2014a    	all 	      0.1732	      0.3229	    0.4184
3unique0        	PrisTTG2014b    	all 	      0.1725	      0.3127	    0.4190
3unique0        	PrisTTG2014c    	all 	      0.1874	      0.3673	    0.3988
3unique0        	PrisTTG2014e    	all 	      0.1894	      0.3718	    0.4057
