runtag1         	runtag2         	topic	unweighted_recall weighted_recall precision
1unique2        	3unique0        	all 	      0.2522	      0.4374	    0.2925
1unique2        	3unique2        	all 	      0.0862	      0.2549	    0.3669
1unique2        	EM100           	all 	      0.3885	      0.5743	    0.3811
1unique2        	EM50            	all 	      0.3043	      0.5101	    0.4382
1unique2        	hltcoeTTG0      	all 	      0.4512	      0.6502	    0.3954
1unique2        	hltcoeTTG1      	all 	      0.4193	      0.6105	    0.3983
1unique2        	hltcoeTTG2      	all 	      0.4750	      0.6647	    0.3633
1unique2        	hltcoeTTG3      	all 	      0.4948	      0.6748	    0.3691
1unique2        	ICTNETAP3       	all 	      0.2480	      0.4911	    0.2647
1unique2        	ICTNETAP4       	all 	      0.2746	      0.5061	    0.2605
1unique2        	ICTNETRunSP3    	all 	      0.3286	      0.4734	    0.1111
1unique2        	ICTNETRUNSP4    	all 	      0.3755	      0.5399	    0.1094
1unique2        	JufeLdkeSum1    	all 	      0.6626	      0.7738	    0.0646
1unique2        	JufeLdkeSum2    	all 	      0.4493	      0.6357	    0.0939
1unique2        	JufeLdkeSum3    	all 	      0.3221	      0.5118	    0.0455
1unique2        	PrisTTG2014a    	all 	      0.4246	      0.6210	    0.3321
1unique2        	PrisTTG2014b    	all 	      0.4383	      0.6240	    0.3374
1unique2        	PrisTTG2014c    	all 	      0.3621	      0.5760	    0.3128
1unique2        	PrisTTG2014e    	all 	      0.3927	      0.6143	    0.3215
1unique2        	QUQEd10t15TTgCL 	all 	      0.3444	      0.5547	    0.3701
1unique2        	QUQEd5t25TTgBL  	all 	      0.3902	      0.5842	    0.3724
1unique2        	QUTmpDecayTTgCL 	all 	      0.3430	      0.5360	    0.3639
1unique2        	QUTqrmTTgBL     	all 	      0.3901	      0.6018	    0.3678
1unique2        	SCIAI124aTTG    	all 	      0.1420	      0.3079	    0.3894
1unique2        	SCIAI14aTTG     	all 	      0.1430	      0.3099	    0.3916
1unique2        	SCIAI3am14aTTG  	all 	      0.1437	      0.3208	    0.3895
1unique2        	SCIAI3cm4aTTG   	all 	      0.1289	      0.3218	    0.3765
1unique2        	SM100           	all 	      0.2442	      0.4295	    0.3629
1unique2        	SM50            	all 	      0.2115	      0.4024	    0.4092
1unique2        	SR              	all 	      0.1345	      0.3499	    0.4289
1unique2        	SRTD            	all 	      0.1407	      0.3648	    0.4334
1unique2        	SRTL            	all 	      0.1498	      0.3723	    0.4370
1unique2        	Standard        	all 	      0.1390	      0.3679	    0.4188
1unique2        	TTGPKUICST1     	all 	      0.5379	      0.7122	    0.3408
1unique2        	TTGPKUICST2     	all 	      0.3934	      0.6090	    0.4891
1unique2        	TTGPKUICST3     	all 	      0.5011	      0.6694	    0.4048
1unique2        	TTGPKUICST4     	all 	      0.5349	      0.6769	    0.3852
1unique2        	udelRunTTG1     	all 	      0.2355	      0.4411	    0.3097
1unique2        	udelRunTTG2     	all 	      0.2343	      0.4381	    0.3064
1unique2        	udelRunTTG3     	all 	      0.2312	      0.4334	    0.3060
1unique2        	udelRunTTG4     	all 	      0.2276	      0.4303	    0.3057
1unique2        	UDInfoMMR5      	all 	      0.1375	      0.3265	    0.3986
1unique2        	UDInfoMMRA      	all 	      0.1298	      0.3167	    0.3930
1unique2        	UDInfoMMRWC5    	all 	      0.1463	      0.3368	    0.4219
1unique2        	UDInfoMMRWCA    	all 	      0.1434	      0.3226	    0.4196
1unique2        	wistudt2bcd     	all 	      0.1219	      0.3472	    0.2917
1unique2        	wistudt2bd      	all 	      0.1455	      0.3609	    0.2846
1unique2        	wistudt2qcd     	all 	      0.1237	      0.3298	    0.2713
1unique2        	wistudt2qd      	all 	      0.1382	      0.3476	    0.2264
3unique0        	3unique2        	all 	      0.2522	      0.4374	    0.2925
3unique0        	EM100           	all 	      0.4206	      0.5975	    0.3125
3unique0        	EM50            	all 	      0.3570	      0.5499	    0.3161
3unique0        	hltcoeTTG0      	all 	      0.4879	      0.6730	    0.3194
3unique0        	hltcoeTTG1      	all 	      0.4713	      0.6509	    0.3239
3unique0        	hltcoeTTG2      	all 	      0.5199	      0.6904	    0.3072
3unique0        	hltcoeTTG3      	all 	      0.5316	      0.7053	    0.3159
3unique0        	ICTNETAP3       	all 	      0.3351	      0.5548	    0.2424
3unique0        	ICTNETAP4       	all 	      0.3648	      0.5738	    0.2419
3unique0        	ICTNETRunSP3    	all 	      0.4038	      0.5615	    0.1203
3unique0        	ICTNETRUNSP4    	all 	      0.4519	      0.6163	    0.1164
3unique0        	JufeLdkeSum1    	all 	      0.6626	      0.7738	    0.0646
3unique0        	JufeLdkeSum2    	all 	      0.4906	      0.6645	    0.0984
3unique0        	JufeLdkeSum3    	all 	      0.4337	      0.5994	    0.0551
3unique0        	PrisTTG2014a    	all 	      0.4547	      0.6406	    0.2876
3unique0        	PrisTTG2014b    	all 	      0.4674	      0.6419	    0.2918
3unique0        	PrisTTG2014c    	all 	      0.4082	      0.6129	    0.2699
3unique0        	PrisTTG2014e    	all 	      0.4379	      0.6481	    0.2784
3unique0        	QUQEd10t15TTgCL 	all 	      0.4051	      0.6043	    0.3001
3unique0        	QUQEd5t25TTgBL  	all 	      0.4359	      0.6243	    0.3038
3unique0        	QUTmpDecayTTgCL 	all 	      0.3794	      0.5733	    0.3010
3unique0        	QUTqrmTTgBL     	all 	      0.4430	      0.6407	    0.3016
3unique0        	SCIAI124aTTG    	all 	      0.2704	      0.4537	    0.2967
3unique0        	SCIAI14aTTG     	all 	      0.2710	      0.4543	    0.2973
3unique0        	SCIAI3am14aTTG  	all 	      0.2761	      0.4668	    0.2980
3unique0        	SCIAI3cm4aTTG   	all 	      0.2715	      0.4636	    0.2955
3unique0        	SM100           	all 	      0.3328	      0.5186	    0.2970
3unique0        	SM50            	all 	      0.3085	      0.4959	    0.3026
3unique0        	SR              	all 	      0.2787	      0.4725	    0.3041
3unique0        	SRTD            	all 	      0.2813	      0.4824	    0.3047
3unique0        	SRTL            	all 	      0.2903	      0.4900	    0.3078
3unique0        	Standard        	all 	      0.2824	      0.4829	    0.3025
3unique0        	TTGPKUICST1     	all 	      0.5666	      0.7300	    0.2961
3unique0        	TTGPKUICST2     	all 	      0.4462	      0.6488	    0.3391
3unique0        	TTGPKUICST3     	all 	      0.5401	      0.6919	    0.3140
3unique0        	TTGPKUICST4     	all 	      0.5741	      0.7068	    0.2970
3unique0        	udelRunTTG1     	all 	      0.3367	      0.5242	    0.2769
3unique0        	udelRunTTG2     	all 	      0.3396	      0.5273	    0.2773
3unique0        	udelRunTTG3     	all 	      0.3309	      0.5156	    0.2725
3unique0        	udelRunTTG4     	all 	      0.3278	      0.5142	    0.2712
3unique0        	UDInfoMMR5      	all 	      0.2778	      0.4727	    0.2977
3unique0        	UDInfoMMRA      	all 	      0.2696	      0.4624	    0.2957
3unique0        	UDInfoMMRWC5    	all 	      0.2831	      0.4788	    0.3015
3unique0        	UDInfoMMRWCA    	all 	      0.2798	      0.4666	    0.3012
3unique0        	wistudt2bcd     	all 	      0.2743	      0.4821	    0.2701
3unique0        	wistudt2bd      	all 	      0.2846	      0.4835	    0.2699
3unique0        	wistudt2qcd     	all 	      0.2782	      0.4788	    0.2608
3unique0        	wistudt2qd      	all 	      0.2830	      0.4798	    0.2405
3unique2        	EM100           	all 	      0.3885	      0.5743	    0.3811
3unique2        	EM50            	all 	      0.3043	      0.5101	    0.4382
3unique2        	hltcoeTTG0      	all 	      0.4512	      0.6502	    0.3954
3unique2        	hltcoeTTG1      	all 	      0.4193	      0.6105	    0.3983
3unique2        	hltcoeTTG2      	all 	      0.4750	      0.6647	    0.3633
3unique2        	hltcoeTTG3      	all 	      0.4948	      0.6748	    0.3691
3unique2        	ICTNETAP3       	all 	      0.2480	      0.4911	    0.2647
3unique2        	ICTNETAP4       	all 	      0.2746	      0.5061	    0.2605
3unique2        	ICTNETRunSP3    	all 	      0.3286	      0.4734	    0.1111
3unique2        	ICTNETRUNSP4    	all 	      0.3755	      0.5399	    0.1094
3unique2        	JufeLdkeSum1    	all 	      0.6626	      0.7738	    0.0646
3unique2        	JufeLdkeSum2    	all 	      0.4493	      0.6357	    0.0939
3unique2        	JufeLdkeSum3    	all 	      0.3221	      0.5118	    0.0455
3unique2        	PrisTTG2014a    	all 	      0.4246	      0.6210	    0.3321
3unique2        	PrisTTG2014b    	all 	      0.4383	      0.6240	    0.3374
3unique2        	PrisTTG2014c    	all 	      0.3621	      0.5760	    0.3128
3unique2        	PrisTTG2014e    	all 	      0.3927	      0.6143	    0.3215
3unique2        	QUQEd10t15TTgCL 	all 	      0.3444	      0.5547	    0.3701
3unique2        	QUQEd5t25TTgBL  	all 	      0.3902	      0.5842	    0.3724
3unique2        	QUTmpDecayTTgCL 	all 	      0.3430	      0.5360	    0.3639
3unique2        	QUTqrmTTgBL     	all 	      0.3901	      0.6018	    0.3678
3unique2        	SCIAI124aTTG    	all 	      0.1420	      0.3079	    0.3894
3unique2        	SCIAI14aTTG     	all 	      0.1430	      0.3099	    0.3916
3unique2        	SCIAI3am14aTTG  	all 	      0.1437	      0.3208	    0.3895
3unique2        	SCIAI3cm4aTTG   	all 	      0.1289	      0.3218	    0.3765
3unique2        	SM100           	all 	      0.2442	      0.4295	    0.3629
3unique2        	SM50            	all 	      0.2115	      0.4024	    0.4092
3unique2        	SR              	all 	      0.1345	      0.3499	    0.4289
3unique2        	SRTD            	all 	      0.1407	      0.3648	    0.4334
3unique2        	SRTL            	all 	      0.1498	      0.3723	    0.4370
3unique2        	Standard        	all 	      0.1390	      0.3679	    0.4188
3unique2        	TTGPKUICST1     	all 	      0.5379	      0.7122	    0.3408
3unique2        	TTGPKUICST2     	all 	      0.3934	      0.6090	    0.4891
3unique2        	TTGPKUICST3     	all 	      0.5011	      0.6694	    0.4048
3unique2        	TTGPKUICST4     	all 	      0.5349	      0.6769	    0.3852
3unique2        	udelRunTTG1     	all 	      0.2355	      0.4411	    0.3097
3unique2        	udelRunTTG2     	all 	      0.2343	      0.4381	    0.3064
3unique2        	udelRunTTG3     	all 	      0.2312	      0.4334	    0.3060
3unique2        	udelRunTTG4     	all 	      0.2276	      0.4303	    0.3057
3unique2        	UDInfoMMR5      	all 	      0.1375	      0.3265	    0.3986
3unique2        	UDInfoMMRA      	all 	      0.1298	      0.3167	    0.3930
3unique2        	UDInfoMMRWC5    	all 	      0.1463	      0.3368	    0.4219
3unique2        	UDInfoMMRWCA    	all 	      0.1434	      0.3226	    0.4196
3unique2        	wistudt2bcd     	all 	      0.1219	      0.3472	    0.2917
3unique2        	wistudt2bd      	all 	      0.1455	      0.3609	    0.2846
3unique2        	wistudt2qcd     	all 	      0.1237	      0.3298	    0.2713
3unique2        	wistudt2qd      	all 	      0.1382	      0.3476	    0.2264
EM100           	EM50            	all 	      0.3818	      0.5662	    0.4188
EM100           	hltcoeTTG0      	all 	      0.5225	      0.7019	    0.3894
EM100           	hltcoeTTG1      	all 	      0.5080	      0.6849	    0.3973
EM100           	hltcoeTTG2      	all 	      0.5534	      0.7203	    0.3587
EM100           	hltcoeTTG3      	all 	      0.5544	      0.7219	    0.3639
EM100           	ICTNETAP3       	all 	      0.4246	      0.6212	    0.3066
EM100           	ICTNETAP4       	all 	      0.4431	      0.6260	    0.3004
EM100           	ICTNETRunSP3    	all 	      0.4794	      0.6342	    0.1404
EM100           	ICTNETRUNSP4    	all 	      0.5102	      0.6625	    0.1316
EM100           	JufeLdkeSum1    	all 	      0.6897	      0.7884	    0.0654
EM100           	JufeLdkeSum2    	all 	      0.5425	      0.7003	    0.1048
EM100           	JufeLdkeSum3    	all 	      0.5161	      0.6742	    0.0613
EM100           	PrisTTG2014a    	all 	      0.4970	      0.6697	    0.3414
EM100           	PrisTTG2014b    	all 	      0.5003	      0.6660	    0.3421
EM100           	PrisTTG2014c    	all 	      0.4662	      0.6480	    0.3204
EM100           	PrisTTG2014e    	all 	      0.4863	      0.6730	    0.3284
EM100           	QUQEd10t15TTgCL 	all 	      0.4373	      0.6242	    0.3894
EM100           	QUQEd5t25TTgBL  	all 	      0.4564	      0.6361	    0.3823
EM100           	QUTmpDecayTTgCL 	all 	      0.4469	      0.6197	    0.3801
EM100           	QUTqrmTTgBL     	all 	      0.4798	      0.6650	    0.3717
EM100           	SCIAI124aTTG    	all 	      0.3837	      0.5694	    0.4159
EM100           	SCIAI14aTTG     	all 	      0.3833	      0.5692	    0.4157
EM100           	SCIAI3am14aTTG  	all 	      0.3860	      0.5773	    0.4144
EM100           	SCIAI3cm4aTTG   	all 	      0.3854	      0.5770	    0.4156
EM100           	SM100           	all 	      0.3798	      0.5654	    0.4186
EM100           	SM50            	all 	      0.3798	      0.5654	    0.4186
EM100           	SR              	all 	      0.3910	      0.5794	    0.4188
EM100           	SRTD            	all 	      0.3940	      0.5885	    0.4166
EM100           	SRTL            	all 	      0.3972	      0.5919	    0.4157
EM100           	Standard        	all 	      0.3940	      0.5859	    0.4084
EM100           	TTGPKUICST1     	all 	      0.5679	      0.7333	    0.3452
EM100           	TTGPKUICST2     	all 	      0.4905	      0.6746	    0.4031
EM100           	TTGPKUICST3     	all 	      0.5656	      0.7144	    0.3538
EM100           	TTGPKUICST4     	all 	      0.6034	      0.7302	    0.3343
EM100           	udelRunTTG1     	all 	      0.4364	      0.6158	    0.3494
EM100           	udelRunTTG2     	all 	      0.4377	      0.6164	    0.3482
EM100           	udelRunTTG3     	all 	      0.4279	      0.6066	    0.3453
EM100           	udelRunTTG4     	all 	      0.4297	      0.6070	    0.3458
EM100           	UDInfoMMR5      	all 	      0.3932	      0.5820	    0.4172
EM100           	UDInfoMMRA      	all 	      0.3883	      0.5797	    0.4162
EM100           	UDInfoMMRWC5    	all 	      0.3986	      0.5855	    0.4205
EM100           	UDInfoMMRWCA    	all 	      0.3970	      0.5794	    0.4198
EM100           	wistudt2bcd     	all 	      0.3898	      0.5806	    0.3660
EM100           	wistudt2bd      	all 	      0.3974	      0.5873	    0.3516
EM100           	wistudt2qcd     	all 	      0.3917	      0.5890	    0.3563
EM100           	wistudt2qd      	all 	      0.3939	      0.5871	    0.3231
EM50            	hltcoeTTG0      	all 	      0.4782	      0.6668	    0.4249
EM50            	hltcoeTTG1      	all 	      0.4684	      0.6536	    0.4399
EM50            	hltcoeTTG2      	all 	      0.5163	      0.6955	    0.3835
EM50            	hltcoeTTG3      	all 	      0.5265	      0.7055	    0.3866
EM50            	ICTNETAP3       	all 	      0.3558	      0.5735	    0.3114
EM50            	ICTNETAP4       	all 	      0.3808	      0.5867	    0.3032
EM50            	ICTNETRunSP3    	all 	      0.4218	      0.5846	    0.1289
EM50            	ICTNETRUNSP4    	all 	      0.4579	      0.6199	    0.1224
EM50            	JufeLdkeSum1    	all 	      0.6742	      0.7807	    0.0648
EM50            	JufeLdkeSum2    	all 	      0.5000	      0.6754	    0.0993
EM50            	JufeLdkeSum3    	all 	      0.4577	      0.6253	    0.0544
EM50            	PrisTTG2014a    	all 	      0.4649	      0.6509	    0.3587
EM50            	PrisTTG2014b    	all 	      0.4708	      0.6497	    0.3608
EM50            	PrisTTG2014c    	all 	      0.4203	      0.6203	    0.3324
EM50            	PrisTTG2014e    	all 	      0.4444	      0.6470	    0.3429
EM50            	QUQEd10t15TTgCL 	all 	      0.3805	      0.5811	    0.4265
EM50            	QUQEd5t25TTgBL  	all 	      0.4064	      0.5989	    0.4116
EM50            	QUTmpDecayTTgCL 	all 	      0.3947	      0.5816	    0.4040
EM50            	QUTqrmTTgBL     	all 	      0.4190	      0.6214	    0.4051
EM50            	SCIAI124aTTG    	all 	      0.2948	      0.4896	    0.5162
EM50            	SCIAI14aTTG     	all 	      0.2949	      0.4896	    0.5162
EM50            	SCIAI3am14aTTG  	all 	      0.2981	      0.4991	    0.5167
EM50            	SCIAI3cm4aTTG   	all 	      0.2954	      0.4997	    0.5152
EM50            	SM100           	all 	      0.3277	      0.5228	    0.4521
EM50            	SM50            	all 	      0.2872	      0.4833	    0.5390
EM50            	SR              	all 	      0.3042	      0.5067	    0.5334
EM50            	SRTD            	all 	      0.3075	      0.5158	    0.5254
EM50            	SRTL            	all 	      0.3130	      0.5234	    0.5238
EM50            	Standard        	all 	      0.3085	      0.5165	    0.5173
EM50            	TTGPKUICST1     	all 	      0.5505	      0.7251	    0.3594
EM50            	TTGPKUICST2     	all 	      0.4390	      0.6442	    0.4874
EM50            	TTGPKUICST3     	all 	      0.5308	      0.6950	    0.4019
EM50            	TTGPKUICST4     	all 	      0.5691	      0.7082	    0.3811
EM50            	udelRunTTG1     	all 	      0.3693	      0.5569	    0.3682
EM50            	udelRunTTG2     	all 	      0.3702	      0.5572	    0.3665
EM50            	udelRunTTG3     	all 	      0.3635	      0.5490	    0.3646
EM50            	udelRunTTG4     	all 	      0.3626	      0.5475	    0.3665
EM50            	UDInfoMMR5      	all 	      0.3024	      0.5041	    0.5276
EM50            	UDInfoMMRA      	all 	      0.2970	      0.4984	    0.5276
EM50            	UDInfoMMRWC5    	all 	      0.3090	      0.5096	    0.5395
EM50            	UDInfoMMRWCA    	all 	      0.3069	      0.5006	    0.5390
EM50            	wistudt2bcd     	all 	      0.3031	      0.5119	    0.4087
EM50            	wistudt2bd      	all 	      0.3138	      0.5232	    0.3821
EM50            	wistudt2qcd     	all 	      0.3029	      0.5129	    0.3965
EM50            	wistudt2qd      	all 	      0.3045	      0.5108	    0.3337
hltcoeTTG0      	hltcoeTTG1      	all 	      0.4686	      0.6554	    0.4153
hltcoeTTG0      	hltcoeTTG2      	all 	      0.5224	      0.6943	    0.3680
hltcoeTTG0      	hltcoeTTG3      	all 	      0.5304	      0.7005	    0.3780
hltcoeTTG0      	ICTNETAP3       	all 	      0.4848	      0.6837	    0.3154
hltcoeTTG0      	ICTNETAP4       	all 	      0.5030	      0.6964	    0.3095
hltcoeTTG0      	ICTNETRunSP3    	all 	      0.5497	      0.7127	    0.1456
hltcoeTTG0      	ICTNETRUNSP4    	all 	      0.5725	      0.7283	    0.1349
hltcoeTTG0      	JufeLdkeSum1    	all 	      0.7424	      0.8402	    0.0687
hltcoeTTG0      	JufeLdkeSum2    	all 	      0.6104	      0.7668	    0.1102
hltcoeTTG0      	JufeLdkeSum3    	all 	      0.5707	      0.7331	    0.0639
hltcoeTTG0      	PrisTTG2014a    	all 	      0.5524	      0.7211	    0.3474
hltcoeTTG0      	PrisTTG2014b    	all 	      0.5593	      0.7266	    0.3504
hltcoeTTG0      	PrisTTG2014c    	all 	      0.5308	      0.7129	    0.3347
hltcoeTTG0      	PrisTTG2014e    	all 	      0.5404	      0.7244	    0.3426
hltcoeTTG0      	QUQEd10t15TTgCL 	all 	      0.5017	      0.6920	    0.3907
hltcoeTTG0      	QUQEd5t25TTgBL  	all 	      0.5163	      0.6974	    0.3891
hltcoeTTG0      	QUTmpDecayTTgCL 	all 	      0.5239	      0.7056	    0.3800
hltcoeTTG0      	QUTqrmTTgBL     	all 	      0.5252	      0.7145	    0.3911
hltcoeTTG0      	SCIAI124aTTG    	all 	      0.4481	      0.6439	    0.4297
hltcoeTTG0      	SCIAI14aTTG     	all 	      0.4477	      0.6437	    0.4295
hltcoeTTG0      	SCIAI3am14aTTG  	all 	      0.4489	      0.6437	    0.4283
hltcoeTTG0      	SCIAI3cm4aTTG   	all 	      0.4461	      0.6437	    0.4322
hltcoeTTG0      	SM100           	all 	      0.4827	      0.6760	    0.3995
hltcoeTTG0      	SM50            	all 	      0.4646	      0.6569	    0.4258
hltcoeTTG0      	SR              	all 	      0.4540	      0.6497	    0.4402
hltcoeTTG0      	SRTD            	all 	      0.4558	      0.6530	    0.4393
hltcoeTTG0      	SRTL            	all 	      0.4599	      0.6590	    0.4374
hltcoeTTG0      	Standard        	all 	      0.4569	      0.6542	    0.4314
hltcoeTTG0      	TTGPKUICST1     	all 	      0.6100	      0.7662	    0.3457
hltcoeTTG0      	TTGPKUICST2     	all 	      0.5409	      0.7197	    0.4151
hltcoeTTG0      	TTGPKUICST3     	all 	      0.6104	      0.7553	    0.3713
hltcoeTTG0      	TTGPKUICST4     	all 	      0.6501	      0.7732	    0.3518
hltcoeTTG0      	udelRunTTG1     	all 	      0.5063	      0.6927	    0.3609
hltcoeTTG0      	udelRunTTG2     	all 	      0.5071	      0.6937	    0.3604
hltcoeTTG0      	udelRunTTG3     	all 	      0.4988	      0.6846	    0.3536
hltcoeTTG0      	udelRunTTG4     	all 	      0.4991	      0.6844	    0.3539
hltcoeTTG0      	UDInfoMMR5      	all 	      0.4509	      0.6446	    0.4322
hltcoeTTG0      	UDInfoMMRA      	all 	      0.4485	      0.6412	    0.4312
hltcoeTTG0      	UDInfoMMRWC5    	all 	      0.4514	      0.6462	    0.4373
hltcoeTTG0      	UDInfoMMRWCA    	all 	      0.4497	      0.6417	    0.4358
hltcoeTTG0      	wistudt2bcd     	all 	      0.4506	      0.6505	    0.3801
hltcoeTTG0      	wistudt2bd      	all 	      0.4616	      0.6637	    0.3674
hltcoeTTG0      	wistudt2qcd     	all 	      0.4470	      0.6425	    0.3693
hltcoeTTG0      	wistudt2qd      	all 	      0.4518	      0.6471	    0.3360
hltcoeTTG1      	hltcoeTTG2      	all 	      0.5118	      0.6875	    0.3749
hltcoeTTG1      	hltcoeTTG3      	all 	      0.5115	      0.6813	    0.3894
